ESTRATO,SEMESTRE,PROMEDIOSEMESTRE,EDAD2,PROGRAMA,GENERO,CIUDADRESIDENCIA,CIUDADNACIMIENTO,target
3.0,8,3.9,22,4,1,23,47,1
3.0,8,4.5,27,4,0,23,47,1
3.0,8,4.0,22,4,0,23,119,1
3.0,8,4.8,26,4,0,23,47,1
3.0,7,4.2,28,4,0,23,47,1
4.0,5,2.7,26,4,1,23,47,1
2.0,8,4.6,25,4,0,79,137,1
2.0,8,3.7,21,4,1,23,47,1
3.0,8,4.2,24,4,0,139,47,1
3.0,8,4.6,24,4,0,23,47,1
4.0,8,4.2,29,4,1,23,47,1
2.0,8,4.6,29,4,0,23,22,1
4.0,8,4.6,22,4,0,23,47,1
4.0,8,4.5,38,4,0,23,47,1
2.0,8,4.3,25,4,0,102,179,1
1.0,8,4.6,25,4,0,90,162,1
2.0,8,4.7,29,4,0,23,47,1
2.0,8,4.1,22,4,1,102,179,1
6.0,8,4.7,32,4,0,23,47,1
3.0,8,4.0,21,4,0,23,47,1
2.0,8,3.2,24,4,0,139,244,1
1.0,7,3.9,28,4,1,23,47,1
3.0,8,4.7,24,4,0,23,47,1
2.0,8,4.1,22,4,1,23,47,1
4.0,8,4.6,29,4,0,23,40,1
5.0,8,4.3,26,4,0,23,220,1
3.0,8,4.8,31,4,0,102,34,1
3.0,8,4.7,22,4,0,23,36,1
2.0,8,4.3,24,4,0,102,179,1
1.0,8,4.5,23,4,0,23,47,1
2.0,7,0.0,47,4,0,110,190,1
2.0,8,3.1,25,4,0,51,97,0
3.0,8,4.3,20,4,0,26,47,1
4.0,8,4.5,21,4,0,23,47,1
4.0,8,4.1,23,4,0,139,244,1
5.0,8,3.2,25,4,1,23,47,1
1.0,8,4.3,21,4,0,79,137,1
1.0,8,4.5,23,4,0,133,234,1
2.0,8,4.1,23,4,0,23,47,1
2.0,8,3.2,24,4,0,23,47,1
3.0,8,4.3,33,4,0,23,34,1
3.0,8,4.4,29,4,0,23,47,1
3.0,8,4.0,28,4,0,102,179,1
3.0,8,4.1,26,4,0,23,29,1
3.0,8,4.6,41,4,0,23,47,1
2.0,8,4.2,31,4,0,139,244,1
2.0,8,4.1,23,4,0,139,244,1
3.0,5,2.7,26,4,0,139,244,1
3.0,7,3.2,34,4,1,23,47,1
4.0,8,4.8,22,4,0,23,47,1
3.0,8,4.6,20,4,0,23,47,1
2.0,8,4.4,20,4,0,139,190,1
2.0,8,4.2,30,4,0,23,47,1
2.0,6,3.9,31,4,0,102,179,1
3.0,8,4.1,21,4,0,102,179,1
3.0,8,3.8,22,4,0,23,34,1
3.0,8,4.3,21,4,1,23,47,1
3.0,8,3.6,27,4,0,86,137,1
2.0,8,4.2,21,4,0,102,179,1
3.0,8,4.1,22,4,1,23,47,1
2.0,8,3.8,27,4,0,23,47,1
2.0,8,4.7,21,4,0,19,40,1
5.0,8,4.7,33,4,0,70,126,1
2.0,8,4.2,20,4,0,117,47,1
4.0,8,4.0,24,4,0,23,47,1
1.0,8,4.1,28,4,0,139,244,1
3.0,8,4.6,28,4,0,23,47,1
2.0,8,4.3,24,4,0,17,174,1
1.0,8,4.5,21,4,0,16,271,1
3.0,8,4.5,22,4,0,139,244,1
4.0,8,4.3,24,4,1,23,47,1
3.0,8,4.2,23,4,0,172,292,1
2.0,8,4.2,22,4,1,17,37,1
3.0,8,4.7,25,4,1,58,112,1
4.0,8,4.4,23,4,0,23,47,1
3.0,8,3.7,21,4,1,110,190,1
3.0,8,3.9,22,4,0,23,47,1
4.0,8,4.5,21,4,1,102,179,1
3.0,8,4.7,22,4,0,23,47,1
3.0,8,4.0,24,4,1,23,47,1
2.0,8,3.8,25,4,0,139,244,1
3.0,8,4.4,21,4,0,23,47,1
2.0,8,4.3,32,4,0,23,47,1
3.0,8,4.3,23,4,1,57,107,1
3.0,8,4.0,31,4,1,23,47,1
5.0,8,3.8,34,4,0,23,47,1
2.0,8,4.3,21,4,0,48,86,1
2.0,8,4.0,26,4,0,139,244,1
2.0,8,4.7,24,4,0,23,47,1
1.0,8,4.4,21,4,0,61,117,1
3.0,8,4.6,21,4,0,23,47,1
2.0,8,4.5,29,4,0,23,47,1
1.0,8,4.9,24,4,1,79,137,1
4.0,8,4.5,27,4,0,23,47,1
3.0,2,2.8,24,4,0,19,40,1
3.0,8,4.6,21,4,0,138,242,1
5.0,8,4.2,24,4,1,23,35,1
2.0,8,4.3,35,4,0,23,34,1
4.0,8,4.0,24,4,1,23,47,1
4.0,8,4.5,22,4,0,23,47,1
2.0,8,4.8,24,4,0,23,47,1
2.0,8,4.5,25,4,0,23,47,1
3.0,1,2.8,21,4,0,24,48,1
2.0,8,4.0,33,4,0,174,97,1
3.0,8,3.9,24,4,1,110,190,1
1.0,8,3.0,26,4,1,139,244,1
3.0,8,3.7,26,4,0,23,61,1
1.0,8,4.6,23,4,0,23,47,1
1.0,7,3.1,34,4,0,22,46,1
2.0,8,4.5,22,4,0,23,137,1
2.0,8,4.4,24,4,0,174,244,1
2.0,8,4.2,25,4,0,51,97,1
2.0,8,4.0,24,4,0,23,70,1
3.0,8,4.3,22,4,0,23,47,1
2.0,7,4.3,27,4,1,23,47,1
3.0,8,4.3,20,4,0,139,244,1
3.0,8,4.6,21,4,1,23,47,1
3.0,8,4.3,23,4,1,23,47,1
3.0,8,4.6,31,4,0,23,47,1
5.0,8,4.5,21,4,0,110,244,1
2.0,8,4.3,22,4,0,23,47,1
3.0,8,4.3,27,4,0,16,35,1
3.0,8,4.3,21,4,0,23,47,1
3.0,8,4.7,28,4,0,23,47,1
2.0,6,4.0,19,4,0,139,244,0
2.0,8,4.6,20,4,0,139,244,1
4.0,8,4.6,24,4,1,23,47,1
1.0,8,4.8,25,4,0,23,137,1
2.0,8,4.6,23,4,0,89,161,1
4.0,8,4.3,22,4,0,23,47,1
2.0,8,4.5,27,4,0,139,244,1
3.0,8,4.7,25,4,0,23,34,1
3.0,8,4.5,26,4,0,22,46,1
3.0,8,4.2,22,4,0,23,47,1
4.0,4,3.0,24,4,1,23,47,1
3.0,8,4.5,28,4,0,23,47,1
2.0,8,4.4,25,4,0,172,292,1
4.0,8,4.6,25,4,0,23,47,1
2.0,8,4.3,21,4,1,125,219,1
4.0,8,4.6,31,4,0,23,47,1
4.0,8,4.8,33,4,0,23,244,1
3.0,8,4.5,28,4,0,23,117,1
2.0,8,3.9,55,4,0,23,47,1
2.0,8,4.6,23,4,0,23,47,1
4.0,8,4.4,29,4,0,23,47,1
3.0,8,4.9,34,4,0,23,47,1
1.0,8,4.7,22,4,0,23,47,1
2.0,8,4.4,27,4,1,58,112,1
2.0,8,4.6,22,4,0,139,244,1
2.0,8,4.9,23,4,0,23,47,1
3.0,8,4.9,27,4,0,26,47,1
3.0,8,4.9,30,4,0,23,47,1
4.0,8,4.6,43,4,0,23,190,1
4.0,8,4.8,21,4,0,139,47,1
3.0,2,2.6,33,4,0,23,47,1
2.0,8,4.9,22,4,0,160,271,1
3.0,8,4.6,29,4,1,104,181,1
1.0,4,0.0,25,4,1,139,244,1
2.0,8,4.4,27,4,0,23,47,1
2.0,8,3.3,25,4,0,104,181,1
3.0,8,4.2,38,4,0,23,249,1
2.0,8,4.8,21,4,0,102,179,1
3.0,8,4.8,23,4,0,23,47,1
5.0,8,4.8,21,4,0,23,47,1
2.0,8,4.6,20,4,0,23,37,1
3.0,8,4.0,22,4,0,102,179,1
3.0,8,4.9,22,4,0,23,47,1
4.0,3,2.9,19,4,0,23,47,1
2.0,8,3.9,23,4,0,23,47,1
3.0,8,3.9,22,4,0,102,47,1
3.0,4,4.0,40,4,1,23,47,0
3.0,7,4.2,23,4,0,139,244,1
3.0,8,4.4,22,4,1,139,244,1
3.0,8,3.9,23,4,0,23,47,1
1.0,8,4.6,26,4,1,23,47,1
1.0,8,4.1,28,4,1,139,268,1
2.0,8,4.4,21,4,0,70,126,1
3.0,8,3.5,22,4,1,23,47,1
3.0,8,4.4,23,4,1,23,47,1
1.0,8,4.6,25,4,0,23,142,1
2.0,8,4.8,26,4,0,23,43,1
3.0,2,3.1,20,4,1,23,47,1
2.0,8,4.9,21,4,0,23,47,1
3.0,8,4.6,22,4,0,70,47,1
3.0,7,4.5,34,4,0,23,47,1
1.0,8,4.4,26,4,0,23,117,1
3.0,8,4.2,20,4,0,23,47,1
3.0,8,4.7,23,4,0,23,47,1
2.0,8,4.7,26,4,0,23,47,1
1.0,7,4.0,24,4,0,79,137,1
1.0,8,4.9,23,4,0,23,47,1
1.0,8,4.6,22,4,0,23,47,1
2.0,8,4.9,27,4,0,23,47,1
3.0,8,4.4,24,4,0,23,47,1
3.0,8,4.9,24,4,0,23,47,1
3.0,8,4.5,21,4,1,23,117,1
4.0,8,4.2,26,4,1,23,47,1
1.0,8,3.7,25,4,0,79,137,1
2.0,8,4.5,27,4,0,23,47,1
1.0,3,3.2,23,4,1,23,47,0
6.0,8,4.5,22,4,0,23,47,1
2.0,8,4.9,22,4,1,23,47,1
1.0,8,4.2,33,4,0,23,47,1
3.0,8,4.0,25,4,1,23,47,1
4.0,8,4.1,33,4,0,23,47,1
2.0,8,4.8,24,4,1,26,179,1
1.0,8,4.5,21,4,0,23,126,1
5.0,8,4.5,20,4,0,23,47,1
2.0,8,4.4,23,4,0,125,219,1
2.0,8,4.4,21,4,1,11,22,1
1.0,8,4.4,21,4,0,79,219,1
5.0,8,3.8,22,4,0,23,47,1
2.0,8,4.0,22,4,1,23,34,1
3.0,8,4.7,21,4,0,23,47,1
3.0,8,4.5,22,4,0,23,47,1
5.0,6,3.8,34,4,0,23,47,0
4.0,8,4.9,27,4,1,23,47,1
3.0,8,4.6,33,4,0,23,47,1
3.0,8,4.6,24,4,1,23,47,1
3.0,8,4.1,24,4,1,23,47,1
4.0,8,4.3,23,4,0,23,47,1
2.0,8,4.4,25,4,0,23,47,1
1.0,8,4.3,23,4,0,23,194,1
2.0,8,3.8,22,4,0,23,47,1
1.0,8,3.8,26,4,0,23,244,1
2.0,1,2.6,20,4,1,23,47,0
3.0,8,4.0,21,4,0,23,54,1
3.0,8,4.1,58,4,1,23,47,1
1.0,8,4.9,24,4,0,139,244,1
4.0,8,4.6,21,4,0,23,47,1
2.0,8,4.2,24,4,0,23,47,1
2.0,8,4.0,25,4,0,23,47,1
3.0,8,4.5,26,4,0,23,26,1
3.0,8,3.9,28,4,1,172,292,1
3.0,8,3.1,25,4,0,110,190,1
3.0,8,4.5,24,4,0,23,47,1
1.0,8,4.1,22,4,0,79,137,1
3.0,8,3.4,25,4,1,23,47,1
3.0,2,3.9,19,4,0,120,47,0
2.0,8,3.8,22,4,1,23,47,1
2.0,8,4.1,21,4,1,23,47,1
2.0,8,4.1,21,4,0,23,47,1
4.0,8,3.9,25,4,0,23,47,1
4.0,8,4.6,26,4,0,23,190,1
3.0,2,2.5,21,4,0,23,47,0
3.0,7,4.1,43,4,0,23,47,1
2.0,8,4.9,32,4,0,23,79,1
3.0,8,3.8,26,4,0,23,149,1
3.0,7,4.0,29,4,0,117,205,1
3.0,8,3.5,24,4,0,23,47,1
3.0,8,4.1,20,4,1,23,185,1
3.0,8,4.1,40,4,0,23,55,1
3.0,3,0.9,22,4,0,23,47,1
2.0,8,4.3,23,4,0,102,179,1
3.0,8,3.5,25,4,0,23,26,1
3.0,8,4.3,22,4,0,23,88,1
3.0,8,3.5,25,4,0,23,47,1
2.0,8,4.2,22,4,0,160,271,1
3.0,8,4.2,29,4,0,51,161,1
5.0,8,4.9,21,4,0,23,34,1
3.0,7,1.9,29,4,0,23,47,0
2.0,8,4.0,22,4,0,61,117,1
6.0,8,4.1,24,4,0,23,47,1
2.0,8,3.5,23,4,0,23,47,1
3.0,8,4.4,26,4,1,23,47,1
2.0,8,4.3,23,4,0,23,47,1
3.0,6,3.7,20,4,1,23,47,0
3.0,8,3.7,21,4,0,104,181,1
1.0,3,3.0,24,4,1,51,97,1
3.0,2,3.6,32,4,0,23,271,0
2.0,8,4.5,19,4,0,23,47,1
3.0,8,4.1,35,4,0,23,47,1
3.0,1,1.1,20,4,0,23,34,1
4.0,8,4.4,43,4,0,23,47,1
3.0,8,4.0,24,4,0,23,119,1
4.0,8,4.5,22,4,0,23,190,1
3.0,8,4.3,23,4,0,23,47,1
4.0,8,3.9,21,4,0,23,47,1
2.0,8,4.3,21,4,0,23,47,1
2.0,8,4.5,21,4,0,23,47,1
2.0,8,4.1,26,4,1,23,47,1
3.0,8,3.7,21,4,0,23,47,1
2.0,7,4.0,26,4,0,161,272,1
4.0,8,4.2,21,4,0,23,47,1
3.0,8,4.0,22,4,0,23,47,1
3.0,8,4.2,33,4,0,172,292,1
3.0,8,4.0,25,4,0,160,271,1
2.0,8,4.2,23,4,0,23,82,1
3.0,8,4.5,23,4,1,23,47,1
3.0,8,4.2,23,4,1,23,47,1
1.0,8,4.3,25,4,1,172,47,1
3.0,7,4.1,31,4,1,23,47,1
3.0,8,3.5,26,4,0,70,47,1
3.0,4,3.4,20,4,0,23,47,0
3.0,8,4.5,34,4,0,23,47,1
3.0,8,4.2,24,4,0,29,190,1
4.0,2,2.8,20,4,0,23,271,1
2.0,8,4.7,22,4,0,19,40,1
2.0,4,2.5,22,4,0,23,47,0
2.0,8,4.4,22,4,0,23,47,1
1.0,8,3.5,25,4,0,23,47,1
1.0,8,4.4,29,4,0,102,179,1
3.0,2,3.2,23,4,0,23,47,0
3.0,8,4.0,24,4,0,23,47,1
2.0,8,4.5,27,4,0,102,179,1
3.0,7,3.9,24,4,0,23,47,1
1.0,7,3.9,24,4,1,23,47,1
2.0,8,4.1,37,4,0,23,47,1
1.0,7,3.9,26,4,0,161,272,1
1.0,7,3.8,23,4,0,23,35,1
5.0,8,4.7,27,4,0,23,185,1
1.0,6,2.5,27,4,0,139,244,1
3.0,8,4.1,22,4,0,102,179,1
5.0,8,4.6,22,4,0,23,47,1
3.0,7,4.6,22,4,0,23,244,1
3.0,8,4.6,27,4,0,70,199,1
2.0,7,4.1,23,4,0,102,37,1
2.0,2,2.5,21,4,1,117,205,0
3.0,7,4.2,24,4,0,19,40,1
3.0,7,3.3,23,4,0,23,47,1
2.0,1,2.7,20,4,0,139,244,1
2.0,8,4.4,27,4,0,58,40,1
2.0,8,4.1,26,4,0,58,112,1
3.0,8,4.1,23,4,1,23,47,1
1.0,7,3.1,26,4,0,25,244,1
5.0,8,3.6,24,4,0,23,47,1
4.0,7,3.7,40,4,1,23,47,1
2.0,8,4.3,28,4,0,23,47,1
2.0,8,4.2,24,4,1,23,47,1
2.0,5,3.3,25,4,0,117,205,1
3.0,8,4.2,24,4,0,23,47,1
2.0,8,4.1,22,4,0,23,47,1
3.0,7,4.2,25,4,0,23,47,1
3.0,8,4.1,25,4,0,90,162,1
1.0,8,3.1,36,4,0,89,161,1
3.0,2,0.7,33,4,1,23,15,1
2.0,8,3.9,21,4,0,23,47,1
2.0,5,3.0,23,4,1,110,190,1
3.0,3,3.0,21,4,0,172,47,0
2.0,8,4.2,21,4,0,51,179,1
4.0,8,4.5,24,4,0,102,179,0
3.0,7,3.7,25,4,0,102,179,1
1.0,8,4.3,22,4,1,55,105,1
3.0,8,4.1,21,4,0,23,47,1
3.0,8,3.7,23,4,0,23,47,1
3.0,8,4.2,23,4,0,23,47,1
1.0,7,3.9,22,4,0,89,161,1
3.0,1,3.2,17,4,0,23,35,0
2.0,3,3.5,19,4,1,24,48,0
4.0,8,4.1,22,4,0,23,47,1
3.0,2,3.9,18,4,0,102,179,0
2.0,8,4.4,21,4,1,23,47,1
4.0,8,3.9,21,4,0,102,179,1
3.0,8,4.4,22,4,0,23,47,1
3.0,8,4.2,23,4,0,23,215,1
3.0,8,4.6,22,4,0,110,190,1
3.0,1,3.6,16,4,0,23,47,0
2.0,7,4.3,33,4,1,23,66,1
2.0,8,4.6,21,4,0,111,194,1
2.0,7,4.2,23,4,0,139,182,1
3.0,8,4.1,24,4,0,117,47,1
2.0,4,3.1,25,4,0,23,55,1
3.0,2,3.2,18,4,0,139,55,0
2.0,8,4.8,20,4,0,70,47,1
3.0,7,3.5,27,4,0,23,47,1
4.0,8,4.1,24,4,1,23,47,1
4.0,8,4.1,23,4,0,23,47,1
2.0,8,4.0,22,4,0,172,292,1
3.0,7,4.1,25,4,0,23,47,1
3.0,8,4.7,25,4,1,23,117,1
3.0,8,4.8,23,4,0,23,150,1
4.0,8,3.8,22,4,1,23,47,1
4.0,8,4.1,21,4,0,110,190,1
3.0,8,4.3,25,4,0,174,190,1
4.0,8,4.2,22,4,1,70,47,1
2.0,8,4.2,24,4,0,51,97,1
3.0,7,3.8,26,4,1,23,144,1
3.0,1,2.8,17,4,1,23,47,1
5.0,8,4.1,22,4,0,23,47,1
3.0,8,4.7,22,4,0,19,47,1
2.0,8,4.4,21,4,0,23,47,1
1.0,8,4.0,27,4,1,23,47,1
5.0,8,3.8,21,4,1,102,179,1
3.0,8,3.6,21,4,0,23,47,1
2.0,3,3.9,22,4,0,23,37,0
3.0,4,2.8,19,4,0,23,47,1
3.0,8,4.2,28,4,0,139,244,1
4.0,8,4.5,24,4,0,50,96,1
4.0,8,4.7,28,4,1,23,47,1
1.0,8,4.4,21,4,1,16,35,1
4.0,8,3.9,31,4,0,23,47,1
2.0,8,4.6,25,4,0,171,40,1
2.0,8,2.8,22,4,0,23,47,1
3.0,7,4.1,23,4,0,48,86,1
4.0,1,3.0,18,4,0,23,47,0
