ESTRATO,SEMESTRE,PROMEDIOSEMESTRE,EDAD2,PROGRAMA,GENERO,CIUDADRESIDENCIA,CIUDADNACIMIENTO,target
3.0,8,3.9,22,102383,1,76001.0,76001.0,1
3.0,8,4.5,27,102383,0,76001.0,76001.0,1
3.0,8,4.0,22,102383,0,76001.0,73001.0,1
3.0,8,4.8,26,102383,0,76001.0,76001.0,1
3.0,7,4.2,28,102383,0,76001.0,76001.0,1
4.0,5,2.7,26,102383,1,76001.0,76001.0,1
2.0,8,4.6,25,102383,0,5400.0,52399.0,1
2.0,8,4.6,25,102383,0,52399.0,52399.0,1
2.0,8,4.6,25,102383,0,70400.0,52399.0,1
2.0,8,4.6,25,102383,0,76400.0,52399.0,1
2.0,8,3.7,21,102383,1,76001.0,76001.0,1
3.0,8,4.2,24,102383,0,19698.0,76001.0,1
3.0,8,4.6,24,102383,0,76001.0,76001.0,1
4.0,8,4.2,29,102383,1,76001.0,76001.0,1
2.0,8,4.6,29,102383,0,76001.0,63001.0,1
4.0,8,4.6,22,102383,0,76001.0,76001.0,1
4.0,8,4.5,38,102383,0,76001.0,76001.0,1
2.0,8,4.3,25,102383,0,76520.0,76520.0,1
1.0,8,4.6,25,102383,0,86001.0,86001.0,1
2.0,8,4.7,29,102383,0,76001.0,76001.0,1
2.0,8,4.1,22,102383,1,76520.0,76520.0,1
6.0,8,4.7,32,102383,0,76001.0,76001.0,1
3.0,8,4.0,21,102383,0,76001.0,76001.0,1
2.0,8,3.2,24,102383,0,19698.0,19698.0,1
1.0,7,3.9,28,102383,1,76001.0,76001.0,1
3.0,8,4.7,24,102383,0,76001.0,76001.0,1
2.0,8,4.1,22,102383,1,76001.0,76001.0,1
4.0,8,4.6,29,102383,0,76001.0,76111.0,1
5.0,8,4.3,26,102383,0,76001.0,8638.0,1
3.0,8,4.8,31,102383,0,76520.0,11001.0,1
3.0,8,4.7,22,102383,0,76001.0,68001.0,1
2.0,8,4.3,24,102383,0,76520.0,76520.0,1
1.0,8,4.5,23,102383,0,76001.0,76001.0,1
2.0,7,0.0,47,102383,0,19001.0,19001.0,1
2.0,8,3.1,25,102383,0,76275.0,76275.0,0
3.0,8,4.3,20,102383,0,8141.0,76001.0,1
3.0,8,4.3,20,102383,0,76130.0,76001.0,1
4.0,8,4.5,21,102383,0,76001.0,76001.0,1
4.0,8,4.1,23,102383,0,19698.0,19698.0,1
5.0,8,3.2,25,102383,1,76001.0,76001.0,1
1.0,8,4.3,21,102383,0,5400.0,52399.0,1
1.0,8,4.3,21,102383,0,52399.0,52399.0,1
1.0,8,4.3,21,102383,0,70400.0,52399.0,1
1.0,8,4.3,21,102383,0,76400.0,52399.0,1
1.0,8,4.5,23,102383,0,13670.0,52693.0,1
1.0,8,4.5,23,102383,0,52693.0,52693.0,1
2.0,8,4.1,23,102383,0,76001.0,76001.0,1
2.0,8,3.2,24,102383,0,76001.0,76001.0,1
3.0,8,4.3,33,102383,0,76001.0,11001.0,1
3.0,8,4.4,29,102383,0,76001.0,76001.0,1
3.0,8,4.0,28,102383,0,76520.0,76520.0,1
3.0,8,4.1,26,102383,0,76001.0,8001.0,1
3.0,8,4.6,41,102383,0,76001.0,76001.0,1
2.0,8,4.2,31,102383,0,19698.0,19698.0,1
2.0,8,4.1,23,102383,0,19698.0,19698.0,1
3.0,5,2.7,26,102383,0,19698.0,19698.0,1
3.0,7,3.2,34,102383,1,76001.0,76001.0,1
4.0,8,4.8,22,102383,0,76001.0,76001.0,1
3.0,8,4.6,20,102383,0,76001.0,76001.0,1
2.0,8,4.4,20,102383,0,19698.0,19001.0,1
2.0,8,4.2,30,102383,0,76001.0,76001.0,1
2.0,6,3.9,31,102383,0,76520.0,76520.0,1
3.0,8,4.1,21,102383,0,76520.0,76520.0,1
3.0,8,3.8,22,102383,0,76001.0,11001.0,1
3.0,8,4.3,21,102383,1,76001.0,76001.0,1
3.0,8,3.6,27,102383,0,5001.0,52399.0,1
2.0,8,4.2,21,102383,0,76520.0,76520.0,1
3.0,8,4.1,22,102383,1,76001.0,76001.0,1
2.0,8,3.8,27,102383,0,76001.0,76001.0,1
5.0,8,4.7,33,102383,0,76364.0,76364.0,1
2.0,8,4.2,20,102383,0,19573.0,76001.0,1
4.0,8,4.0,24,102383,0,76001.0,76001.0,1
1.0,8,4.1,28,102383,0,19698.0,19698.0,1
3.0,8,4.6,28,102383,0,76001.0,76001.0,1
2.0,8,4.3,24,102383,0,76109.0,86320.0,1
1.0,8,4.5,21,102383,0,19100.0,76834.0,1
1.0,8,4.5,21,102383,0,68101.0,76834.0,1
1.0,8,4.5,21,102383,0,76100.0,76834.0,1
3.0,8,4.5,22,102383,0,19698.0,19698.0,1
4.0,8,4.3,24,102383,1,76001.0,76001.0,1
3.0,8,4.2,23,102383,0,76892.0,76892.0,1
2.0,8,4.2,22,102383,1,76109.0,76109.0,1
3.0,8,4.7,25,102383,1,76318.0,76318.0,1
4.0,8,4.4,23,102383,0,76001.0,76001.0,1
3.0,8,3.7,21,102383,1,19001.0,19001.0,1
3.0,8,3.9,22,102383,0,76001.0,76001.0,1
4.0,8,4.5,21,102383,1,76520.0,76520.0,1
3.0,8,4.7,22,102383,0,76001.0,76001.0,1
3.0,8,4.0,24,102383,1,76001.0,76001.0,1
2.0,8,3.8,25,102383,0,19698.0,19698.0,1
3.0,8,4.4,21,102383,0,76001.0,76001.0,1
2.0,8,4.3,32,102383,0,76001.0,76001.0,1
3.0,8,4.3,23,102383,1,76306.0,76306.0,1
3.0,8,4.0,31,102383,1,76001.0,76001.0,1
5.0,8,3.8,34,102383,0,76001.0,76001.0,1
2.0,8,4.3,21,102383,0,76250.0,76250.0,1
2.0,8,4.0,26,102383,0,19698.0,19698.0,1
2.0,8,4.7,24,102383,0,76001.0,76001.0,1
1.0,8,4.4,21,102383,0,19318.0,19318.0,1
3.0,8,4.6,21,102383,0,76001.0,76001.0,1
2.0,8,4.5,29,102383,0,76001.0,76001.0,1
1.0,8,4.9,24,102383,1,5400.0,52399.0,1
1.0,8,4.9,24,102383,1,52399.0,52399.0,1
1.0,8,4.9,24,102383,1,70400.0,52399.0,1
1.0,8,4.9,24,102383,1,76400.0,52399.0,1
4.0,8,4.5,27,102383,0,76001.0,76001.0,1
3.0,8,4.6,21,102383,0,66682.0,66682.0,1
5.0,8,4.2,24,102383,1,76001.0,76100.0,1
2.0,8,4.3,35,102383,0,76001.0,11001.0,1
4.0,8,4.0,24,102383,1,76001.0,76001.0,1
4.0,8,4.5,22,102383,0,76001.0,76001.0,1
2.0,8,4.8,24,102383,0,76001.0,76001.0,1
2.0,8,4.5,25,102383,0,76001.0,76001.0,1
3.0,8,3.9,24,102383,1,19001.0,19001.0,1
1.0,8,3.0,26,102383,1,19698.0,19698.0,1
3.0,8,3.7,26,102383,0,76001.0,17174.0,1
1.0,8,4.6,23,102383,0,76001.0,76001.0,1
1.0,7,3.1,34,102383,0,19137.0,19137.0,1
2.0,8,4.5,22,102383,0,76001.0,52399.0,1
2.0,8,4.2,25,102383,0,76275.0,76275.0,1
2.0,8,4.0,24,102383,0,76001.0,54001.0,1
3.0,8,4.3,22,102383,0,76001.0,76001.0,1
2.0,7,4.3,27,102383,1,76001.0,76001.0,1
3.0,8,4.3,20,102383,0,19698.0,19698.0,1
3.0,8,4.6,21,102383,1,76001.0,76001.0,1
3.0,8,4.3,23,102383,1,76001.0,76001.0,1
3.0,8,4.6,31,102383,0,76001.0,76001.0,1
5.0,8,4.5,21,102383,0,19001.0,19698.0,1
2.0,8,4.3,22,102383,0,76001.0,76001.0,1
3.0,8,4.3,27,102383,0,19100.0,76100.0,1
3.0,8,4.3,27,102383,0,68101.0,76100.0,1
3.0,8,4.3,27,102383,0,76100.0,76100.0,1
3.0,8,4.3,21,102383,0,76001.0,76001.0,1
3.0,8,4.7,28,102383,0,76001.0,76001.0,1
2.0,6,4.0,19,102383,0,19698.0,19698.0,0
2.0,8,4.6,20,102383,0,19698.0,19698.0,1
4.0,8,4.6,24,102383,1,76001.0,76001.0,1
1.0,8,4.8,25,102383,0,76001.0,52399.0,1
2.0,8,4.6,23,102383,0,19455.0,19455.0,1
4.0,8,4.3,22,102383,0,76001.0,76001.0,1
2.0,8,4.5,27,102383,0,19698.0,19698.0,1
3.0,8,4.7,25,102383,0,76001.0,11001.0,1
3.0,8,4.5,26,102383,0,19137.0,19137.0,1
3.0,8,4.2,22,102383,0,76001.0,76001.0,1
4.0,4,3.0,24,102383,1,76001.0,76001.0,1
3.0,8,4.5,28,102383,0,76001.0,76001.0,1
2.0,8,4.4,25,102383,0,76892.0,76892.0,1
4.0,8,4.6,25,102383,0,76001.0,76001.0,1
2.0,8,4.3,21,102383,1,76622.0,76622.0,1
4.0,8,4.6,31,102383,0,76001.0,76001.0,1
4.0,8,4.8,33,102383,0,76001.0,19698.0,1
3.0,8,4.5,28,102383,0,76001.0,19318.0,1
